omg,A_omg
-35.0,3.548229984851099e-07
-34.850721630854466,3.505269119375133e-07
-34.70163067822666,3.463017478813799e-07
-34.55272784624238,3.4214659791555454e-07
-34.40401384166395,3.3806056630946453e-07
-34.25548937389545,3.340427699519799e-07
-34.10715515498805,3.300923382933599e-07
-33.95901189964507,3.2620841329577546e-07
-33.81106032522722,3.223901493798491e-07
-33.663301151757565,3.186367133742237e-07
-33.51573510192652,3.149472844664337e-07
-33.36836290109676,3.1132105415469386e-07
-33.221185277307995,3.077572262010167e-07
-33.0742029612818,3.042550165860516e-07
-32.92741668642623,3.0081365346480326e-07
-32.780827188840476,2.9743237712461224e-07
-32.634435207319285,2.941104399443363e-07
-32.488241483357506,2.9084710635509604e-07
-32.342246761154385,2.8764165280303997e-07
-32.19645178761786,2.844933677138338e-07
-32.050857312368734,2.814015514591805e-07
-31.905464087744832,2.783655163250294e-07
-31.76027286880486,2.753845864822091e-07
-31.615284413332564,2.7245809795902317e-07
-31.470499481840346,2.6958539861625544e-07
-31.325918837573127,2.667658481242971e-07
-31.18154324651198,2.6399881794319843e-07
-31.037373477377628,2.612836913044867e-07
-30.89341030163395,2.586198631967661e-07
-30.74965449349132,2.5600674035300655e-07
-30.606106829909837,2.5344374124150237e-07
-30.462768090602506,2.50930296059458e-07
-30.31963905803831,2.4846584673001717e-07
-30.176720517445034,2.460498469024713e-07
-30.034013256812283,2.436817619557424e-07
-29.89151806689402,2.4136106900593076e-07
-29.74923574121132,2.3908725691710185e-07
-29.607167076054797,2.3685982631658965e-07
-29.465312870487026,2.3467828961391664e-07
-29.32367392634477,2.3254217102442534e-07
-29.182251048241227,2.3045100659729068e-07
-29.04104504356792,2.2840434424843862e-07
-28.900056722496785,2.264017437983845e-07
-28.759286897981795,2.2444277701562535e-07
-28.61873638576071,2.2252702766543182e-07
-28.478406004356618,2.206540915647604e-07
-28.338296575079333,2.1882357664348225e-07
-28.19840892202665,2.1703510301248576e-07
-28.058743872085508,2.152883030387468e-07
-27.91930225493299,2.1358282142849007e-07
-27.78008490303724,2.1191831531857368e-07
-27.641092651658084,2.1029445437689924e-07
-27.502326338847773,2.0871092091273184e-07
-27.363786805451365,2.0716740999770147e-07
-27.225474895107006,2.056636295986994e-07
-27.087391454246113,2.0419930072364242e-07
-26.949537332093406,2.0277415758178993e-07
-26.811913380666777,2.0138794776017395e-07
-26.674520454776953,2.0004043241791252e-07
-26.53735941202708,1.9873138650136243e-07
-26.40043111281211,1.9746059898208618e-07
-26.263736420318114,1.962278731214612e-07
-26.12727620052121,1.9503302676575242e-07
-25.99105132218664,1.9387589267650696e-07
-25.855062656867386,1.9275631890158308e-07
-25.71931107890287,1.9167416919406886e-07
-25.58379746541729,1.906293234871389e-07
-25.4485226963179,1.8962167843480004e-07
-25.31348765429304,1.8865114803064853e-07
-25.178693224810097,1.8771766431923199e-07
-25.044140296113135,1.8682117821775831e-07
-24.909829759220493,1.859616604696103e-07
-24.775762507922124,1.851391027559705e-07
-24.64193943877673,1.84353518997422e-07
-24.508361451108772,1.8360494688429512e-07
-24.37502944700531,1.8289344968349678e-07
-24.241944331312453,1.8221911837928442e-07
-24.10910701163192,1.8158207421903072e-07
-23.97651839831719,1.809824717503535e-07
-23.844179404469457,1.8042050245533385e-07
-23.712090945933532,1.7989639911117654e-07
-23.58025394129337,1.7941044103595464e-07
-23.44866931186757,1.7896296041329215e-07
-23.317337981704448,1.785543499342124e-07
-23.18626087757707,1.7818507204738234e-07
-23.05543892897804,1.7785567017558643e-07
-22.924873068114078,1.775667823371137e-07
-22.794564229900253,1.7731915771018992e-07
-22.664513351954206,1.7711367680075485e-07
-22.534721374590003,1.7695137602502572e-07
-22.405189240811765,1.7683347770089273e-07
-22.275917896307188,1.7676142667116788e-07
-22.146908289440752,1.7673693505792163e-07
-22.018161371246585,1.767620369902293e-07
-21.889678095421356,1.7683915556648938e-07
-21.76145941831671,1.7697118482775978e-07
-21.63350629893155,1.771615901503654e-07
-21.505819698904055,1.774145312412482e-07
-21.378400582503495,1.7773501287027724e-07
-21.251249916621738,1.7812906963916564e-07
-21.124368670764575,1.7860399251421417e-07
-20.997757817042718,1.7916860659981387e-07
-20.871418330162584,1.7983361176932867e-07
-20.745351187416844,1.806120003899201e-07
-20.619557368674723,1.8151956957852895e-07
-20.494037856371904,1.8257554933884202e-07
-20.368793635500364,1.8380337270353153e-07
-20.243825693597785,1.8523161983121934e-07
-20.119135020736834,1.868951751065796e-07
-19.994722609513992,1.8883664493524488e-07
-19.87058945503834,1.91108094438752e-07
-19.746736554919803,1.9377317403006082e-07
-19.623164909257394,1.9690972235277033e-07
-19.49987552062688,2.006129508623208e-07
-19.376869394068514,2.0499933807774304e-07
-19.254147537074083,2.102113890379495e-07
-19.13171095957403,2.1642344869889762e-07
-19.009560673924035,2.2384879802617148e-07
-18.887697694891397,2.3274830969059837e-07
-18.76612303964115,2.434409981154255e-07
-18.64483772772187,2.563168679716504e-07
-18.523842781051062,2.718525482017645e-07
-18.403139223900364,2.9063029774349473e-07
-18.282728082880503,3.1336108719401165e-07
-18.162610386925753,3.409126010073435e-07
-18.042787167278213,3.7434317124854225e-07
-17.923259457471765,4.149428507693496e-07
-17.80402829331565,4.64283065835593e-07
-17.685094712877863,5.242765612624213e-07
-17.56645975646796,5.972496711938994e-07
-17.448124466619888,6.860293226702774e-07
-17.330089888074262,7.94047614601081e-07
-17.212357067760255,9.25467319924888e-07
-17.094927054777468,1.0853322423680018e-06
-16.977800900377087,1.279747030650038e-06
-16.860979657943027,1.5160918218513685e-06
-16.744464382972485,1.8032779617675554e-06
-16.628256133056333,2.1520520430337783e-06
-16.5123559678591,2.575356620677523e-06
-16.39676494909858,3.0887572175433844e-06
-16.281484140525144,3.710946625016385e-06
-16.166514607900684,4.464339041493553e-06
-16.051857418977217,5.37576827247761e-06
-15.937513643475114,6.477306037928108e-06
-15.82348435306099,7.807218384649748e-06
-15.709770621325216,9.411080266871639e-06
-15.596373523759134,1.1343070510663717e-05
-15.48329413773181,1.3667471580798669e-05
-15.370533542466482,1.6460400772682346e-05
-15.258092819016724,1.981180159341553e-05
-15.145973050242016,2.382772609453156e-05
-15.034175320783227,2.8632940676258306e-05
-14.922700717037493,3.437388928081372e-05
-14.811550327132789,4.122204879130542e-05
-14.700725240902308,4.937771169222467e-05
-14.590226549858105,5.907423044585578e-05
-14.480055347164715,7.058275639286724e-05
-14.37021272761212,8.421750307652912e-05
-14.260699787588564,0.00010034155948397211
-14.151517625052787,0.00011937327255343941
-14.04266733950601,0.00014179321017397369
-13.934150031963433,0.00016815170556947376
-13.825966804925425,0.00019907697120635564
-13.718118762348244,0.00023528375501866668
-13.610607009614508,0.00027758249368762747
-13.503432653503026,0.0003268888968971437
-13.396596802158566,0.0003842338729551922
-13.290100565060875,0.0004507736800791629
-13.183945052993526,0.0005278001592778773
-13.078131378012351,0.0006167508745606536
-12.972660653413385,0.0007192189547676274
-12.867533993700505,0.0008369623994278676
-12.762752514552503,0.0009719125796710093
-12.65831733279001,0.0011261816354965854
-12.554229566341814,0.0013020684439418533
-12.45049033421077,0.0015020628103619396
-12.347100756439474,0.0017288475186875954
-12.244061954075331,0.0019852978678234854
-12.141375049135377,0.0022744783218977193
-12.039041164570573,0.0025996359134700157
-11.937061424229721,0.002964190062447085
-11.835436952823045,0.0033717185105503287
-11.734168875885203,0.0038259391225353824
-11.633258319738129,0.004330687371450238
-11.532706411453141,0.0048898894058956935
-11.432514278812945,0.0055075306918445175
-11.332683050273026,0.00618762032879555
-11.233213854922742,0.006934151257769423
-11.134107822445877,0.007751056704310828
-11.035366083080966,0.008642163329781207
-10.936989767580972,0.009611141694925714
-10.838980007172847,0.010661454766517288
-10.741337933516284,0.011796305316039035
-10.64406467866246,0.01301858316396588
-10.547161375012156,0.014330813309283544
-10.450629155273408,0.015735106046956136
-10.3544691524189,0.017233110211761507
-10.258682499642852,0.018825970692178645
-10.163270330317562,0.0205142913301041
-10.068233777949423,0.022298104259882066
-9.973573976134634,0.02417684664355895
-9.87929205851447,0.026149345629245556
-9.78538915873018,0.028213812199262354
-9.691866410377312,0.030367844387770373
-9.598724946959912,0.03260844013919001
-9.505965901844064,0.03493201985548945
-9.413590408211139,0.037334458448384414
-9.321599599010646,0.039811126480324685
-9.229994606912616,0.04235693975233621
-9.138776564259711,0.04496641648562465
-9.047946603018705,0.047633741053985185
-8.957505854731892,0.050352833061589115
-8.86745545046779,0.05311742043114491
-8.777796520771592,0.055921115074031386
-8.688530195615293,0.058757489659955545
-8.599657604347225,0.06162015398877041
-8.511179875641439,0.06450282949212116
-8.423098137446512,0.06739942045384961
-8.335413516934103,0.0703040806337098
-8.248127140446972,0.07321127410318277
-8.161240133446832,0.07611582925066675
-8.074753620461664,0.07901298507882248
-7.988668725032632,0.08189842909495289
-7.9029865696608255,0.08476832627705574
-7.817708275753436,0.08761933878060818
-7.7328349635696085,0.09044863622535834
-7.64836775216607,0.09325389656571009
-7.564307759342171,0.09603329769583496
-7.480656101584739,0.09878550007060882
-7.397413894012601,0.10150962073234623
-7.31458225032053,0.10420519922109328
-7.232162282723191,0.10687215591240448
-7.150155101898399,0.10951074337269333
-7.068561816930302,0.11212149135007587
-6.9873835352521105,0.11470514603110367
-6.90662136258846,0.11726260419423011
-6.826276402897552,0.11979484288281037
-6.746349758312963,0.12230284520971138
-6.666842529084981,0.1247875228946489
-6.587755813521838,0.12724963613019347
-6.5090907079305715,0.12968971137753588
-6.430848306557397,0.13210795771256675
-6.35302970152819,0.134504182380138
-6.2756359827881845,0.1368777062740198
-6.198668238041705,0.13922728014457375
-6.122127552691634,0.14155100244603014
-6.046015009778365,0.14384623987352604
-5.970331689918655,0.14610955180332424
-5.895078671244246,0.14833662003803327
-5.820257029339999,0.15052218546638335
-5.745867837182114,0.15265999346743397
-5.671912165075778,0.15474275011435673
-5.59839108059273,0.15676209145006553
-5.525305648508571,0.158708568302112
-5.452656930739838,0.16057164925992268
-5.380445986280844,0.16233974453324485
-5.308673871140275,0.16400025342566504
-5.237341638277613,0.16553963806603864
-5.1664503375393025,0.16694352582091163
-5.096001015594844,0.16819684243997257
-5.025994715872521,0.16928397744326634
-4.956432478495035,0.17018898252974513
-4.887315340214943,0.17089580286509393
-4.818644334350001,0.17138853999424813
-4.750420490718117,0.17165174383857298
-4.682644835572507,0.17167072980909642
-4.615318391536281,0.17143191554328013
-4.548442177537272,0.1709231702165202
-4.482017208742434,0.17013416787481633
-4.416044496492308,0.1690567348708334
-4.350525048235248,0.16768518037139551
-4.285459867461697,0.1660165981420012
-4.220849953638037,0.16405112750972728
-4.156696302140762,0.16179216164743226
-4.092999904190233,0.15924649217380313
-4.0297617467845654,0.15642438056208557
-3.966982812633219,0.1533395489832626
-3.904664080090825,0.15000908592452866
-3.8428065230907045,0.14645326511938564
-3.781411111078455,0.1426952798480829
-3.720478808945483,0.13876089833107347
-3.6600105769625806,0.13467804952651907
-3.60000737071325,0.13047635192632134
-3.540470141027342,0.12618660070281212
-3.4813998339144874,0.12184023059771414
-3.422797390497557,0.1174687731113897
-3.3646637469462135,0.11310332675641696
-3.306999834410437,0.10877405836215978
-3.2498065789540433,0.10450975170649496
-3.1930849014884046,0.1003374172256719
-3.136835717706063,0.09628197339094577
-3.0810599380144943,0.09236600675647337
-3.025758467469945,0.08860961391435843
-2.9709322057112644,0.0850303248762961
-2.9165820468940282,0.08164310394918034
-2.8627088796245417,0.07846042115894941
-2.80931358689417,0.07549238482247783
-2.7563970460135536,0.07274692403560534
-2.703960128547223,0.07023000863793787
-2.6520037002481516,0.06794589358156314
-2.600528620992584,0.06589737447712887
-2.5495357447149516,0.06408604129262968
-2.4990259193430404,0.06251251759807269
-2.448999986733341,0.061176673249105626
-2.399458782606473,0.06007779886677051
-2.350403136482953,0.05921473082149972
-2.301833871619202,0.058585915644049386
-2.2537518049435903,0.05818940291617754
-2.206157746992986,0.058022755885394114
-2.1590525018493096,0.058082869558972586
-2.112436867076447,0.05836568725125317
-2.066311633657584,0.05886580900258091
-2.0206775859325177,0.05957598960001212
-1.9755355015354823,0.060486530814086795
-1.930886151333226,0.06158458260279413
-1.8867302993634425,0.06285338190401255
-1.8430687027733654,0.06427147528183386
-1.7999021117588683,0.06581199240512058
-1.757231269503869,0.06744205932446257
-1.715056912120076,0.06912246062514525
-1.6733797685870258,0.07080767317623238
-1.6322005606926169,0.07244639560974726
-1.5915200029740575,0.07398268074859812
-1.5513388026590036,0.07535773790938784
-1.5116576596073017,0.07651240626675022
-1.4724772662531365,0.07739021221443403
-1.4337983075474838,0.07794082232514998
-1.395621460901154,0.07812360514592753
-1.3579473961281394,0.07791094040708504
-1.3207767753896107,0.0772908844749673
-1.2841102531381452,0.07626883193225156
-1.2479484760626818,0.07486790975663621
-1.2122920830337875,0.07312799252766568
-1.177141705049543,0.07110340962190853
-1.1424979651818319,0.06885959391351328
-1.108361478523264,0.06646906037771459
-1.0747328521345736,0.06400717486923997
-1.0416126849925789,0.06154816656623843
-1.0090015679386823,0.05916175865760932
-0.9769000836279318,0.05691066247135891
-0.9453088064786925,0.054849030087948225
-0.9142283026228029,0.05302181876829942
-0.8836591298565395,0.05146490907524642
-0.853601837591853,0.050205748295124135
-0.8240569668085769,0.04926426204307549
-0.79502505000697,0.04865378271245344
-0.7665066111610628,0.0483817736731571
-0.7385021656725854,0.04845017389432571
-0.71101222032555,0.04885524385677191
-0.6840372732414153,0.04958685983630543
-0.6575778138351112,0.05062728313682266
-0.6316343227715677,0.0519495276158025
-0.6062072719229477,0.05351556313309871
-0.5812971243266958,0.055274715679140315
-0.5569043341441073,0.05716273494673704
-0.5330293466197773,0.059102060998777795
-0.5096725980417176,0.061003789348283634
-0.48683451570205705,0.06277167039925705
-0.46451551785877854,0.06430817422749663
-0.4427160136978401,0.065522241429308
-0.4214364032964184,0.06633791475576029
-0.4006770775865576,0.06670272910213865
-0.3804384183198408,0.0665946457339888
-0.3607207980327445,0.06602650564517083
-0.3415245800127735,0.06504740489535514
-0.3228501182652934,0.06374092954574251
-0.3046977574814278,0.062220660083805085
-0.28706783300642513,0.0606236330514599
-0.26996067080909825,0.059102491337209975
-0.2533765874518821,0.05781692172687172
-0.2373158900618506,0.05692477975082015
-0.2217788763025581,0.05657314207592481
-0.20676583434654106,0.056889464838860496
-0.19227704284892866,0.0579730741816018
-0.17831277092167852,0.0598873574840936
-0.1648732781087574,0.06265323276444405
-0.1519588143621533,0.06624470270849586
-0.13956962001881124,0.07058746369701653
-0.12770592577832218,0.07556151269175862
-0.11636795268152156,0.08100834875696428
-0.10555591209008952,0.08674265560406352
-0.09527000566683341,0.09256739380116347
-0.08551042535697917,0.09829031759818477
-0.0762773533703438,0.10373942550162187
-0.0675709621643037,0.10877500852095975
-0.059391414427778955,0.1132967624307552
-0.0517388630661344,0.11724558936311788
-0.04461345118674842,0.12060080963270117
-0.038015312085811104,0.12337420027358915
-0.03194456923583289,0.1256024567157794
-0.026401336274041398,0.12733943913069648
-0.02138571699180858,0.1286491241544393
-0.016897805325015725,0.1295997315934817
-0.012937685345136174,0.1302591490789842
-0.009505431251398022,0.13069156553138128
